Java HotSpot(TM) 64-Bit Server VM (25.172-b11) for bsd-amd64 JRE (1.8.0_172-b11), built on Mar 28 2018 15:38:02 by "java_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 8388608k(217468k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=134217728 -XX:MaxHeapSize=2147483648 -XX:MaxNewSize=348966912 -XX:MaxTenuringThreshold=6 -XX:OldPLABSize=16 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:+UseParNewGC 
8.958: [GC (Allocation Failure) 8.958: [ParNew: 39295K->4350K(39296K), 0.2657923 secs] 992528K->992522K(1028352K), 0.2662592 secs] [Times: user=0.66 sys=0.03, real=0.27 secs] 
9.269: [GC (Allocation Failure) 9.269: [ParNew: 39294K->4350K(39296K), 0.2485477 secs] 1027466K->1027463K(1063104K), 0.2486314 secs] [Times: user=0.70 sys=0.02, real=0.24 secs] 
9.562: [GC (Allocation Failure) 9.562: [ParNew: 39294K->4350K(39296K), 0.2365951 secs] 1062407K->1062406K(1098240K), 0.2366839 secs] [Times: user=0.73 sys=0.02, real=0.24 secs] 
9.846: [GC (Allocation Failure) 9.846: [ParNew: 39294K->4350K(39296K), 0.2448489 secs] 1097350K->1097348K(1132992K), 0.2449353 secs] [Times: user=0.71 sys=0.02, real=0.25 secs] 
10.138: [GC (Allocation Failure) 10.138: [ParNew: 39294K->4350K(39296K), 0.2574219 secs] 1132292K->1132289K(1167936K), 0.2575003 secs] [Times: user=0.62 sys=0.02, real=0.26 secs] 
10.461: [GC (Allocation Failure) 10.461: [ParNew: 39294K->4350K(39296K), 0.2693518 secs] 1167233K->1168311K(1204032K), 0.2694409 secs] [Times: user=0.71 sys=0.03, real=0.27 secs] 
10.786: [GC (Allocation Failure) 10.786: [ParNew: 39294K->4352K(39296K), 0.2461284 secs] 1203255K->1202126K(1237824K), 0.2462260 secs] [Times: user=0.73 sys=0.02, real=0.25 secs] 
11.082: [GC (Allocation Failure) 11.082: [ParNew: 39296K->4352K(39296K), 0.3034625 secs] 1237070K->1238202K(1273920K), 0.3035401 secs] [Times: user=0.63 sys=0.02, real=0.30 secs] 
11.433: [GC (Allocation Failure) 11.433: [ParNew: 39296K->4352K(39296K), 0.2536014 secs] 1273146K->1273299K(1309056K), 0.2536982 secs] [Times: user=0.65 sys=0.02, real=0.25 secs] 
11.731: [GC (Allocation Failure) 11.731: [ParNew: 39296K->4352K(39296K), 0.2414213 secs] 1308243K->1308088K(1343808K), 0.2415045 secs] [Times: user=0.69 sys=0.02, real=0.24 secs] 
12.019: [GC (Allocation Failure) 12.019: [ParNew: 39296K->4352K(39296K), 0.2563958 secs] 1343032K->1343030K(1378752K), 0.2564886 secs] [Times: user=0.67 sys=0.02, real=0.25 secs] 
